IoT1,IoT2,IoT3,IoT4,Personality
2,3,1,2,Debater
4,2,2,4,Protagonist
4,4,4,1,Logistician
3,2,2,4,Architect
4,3,4,4,Entepreneur
3,2,3,3,Commander
3,4,1,4,Defender
3,2,1,1,Commander
1,2,3,3,Commander
1,1,4,3,Defender
2,2,2,3,Logistician
4,4,2,3,Adventurer
1,3,4,3,Entepreneur
4,1,3,1,Adventurer
2,4,1,1,Debater
3,3,3,3,Protagonist
3,4,3,3,Logistician
3,4,1,1,Commander
2,2,2,3,Logician
1,4,4,4,Executive
4,3,4,4,Adventurer
1,2,2,1,Executive
1,2,3,4,Advocate
1,4,4,1,Advocate
3,2,3,2,Debater
3,4,3,1,Advocate
1,2,2,4,Protagonist
1,2,3,1,Adventurer
1,2,4,4,Entertainer
2,4,1,1,Mediator
2,2,2,2,Debater
1,4,2,4,Consul
3,4,1,4,Adventurer
2,4,4,2,Commander
3,1,4,1,Virtuoso
1,3,4,4,Commander
3,1,2,4,Logician
1,1,3,4,Campaigner
4,2,4,3,Advocate
1,3,3,4,Consul
1,1,4,2,Adventurer
3,4,3,4,Entepreneur
4,2,4,1,Logician
2,1,3,4,Consul
1,1,1,4,Logistician
2,2,1,1,Commander
2,2,2,3,Logician
3,1,2,4,Advocate
2,2,1,3,Logician
1,3,3,3,Advocate
2,2,2,4,Entertainer
3,1,1,1,Protagonist
2,4,1,4,Logician
4,4,4,3,Defender
2,4,3,4,Advocate
4,1,3,3,Defender
3,3,2,4,Commander
4,1,2,1,Entertainer
1,4,2,1,Adventurer
1,4,1,2,Adventurer
3,4,3,3,Logician
3,2,2,1,Logistician
3,3,3,2,Mediator
3,4,4,2,Campaigner
4,4,4,2,Mediator
4,2,1,2,Defender
3,3,4,4,Virtuoso
2,3,2,4,Campaigner
3,3,4,2,Defender
2,4,4,1,Protagonist
1,3,3,2,Protagonist
4,4,2,3,Defender
1,1,4,3,Consul
2,1,1,2,Entertainer
1,1,3,4,Commander
2,3,2,3,Virtuoso
1,1,1,2,Consul
2,1,2,1,Entepreneur
3,3,3,1,Logistician
1,1,3,4,Protagonist
1,2,3,4,Entepreneur
3,3,1,2,Campaigner
3,3,2,1,Logician
2,2,4,3,Consul
4,2,4,3,Debater
3,2,2,4,Advocate
4,1,2,4,Commander
4,2,2,2,Logistician
3,2,3,1,Debater
1,1,4,3,Debater
3,1,3,2,Protagonist
3,2,3,4,Architect
3,1,4,2,Defender
2,3,3,1,Protagonist
3,4,1,1,Entepreneur
4,2,3,1,Entepreneur
3,3,3,4,Defender
2,4,2,4,Mediator
1,1,3,2,Logistician
1,4,4,2,Commander
